Item,Image
OliToki Burrito,OliTokiBurrito.png
OliToki Kalifornia Burrito,KaliforniaBurrito.png
OliToki Tacos x 2,TokiTacos.png
Kimchi Burilla,KimchiBurilla.png
Kimchi Dilla,KimchiDilla.png
