Menu Title,Item,Price,Description,New,Image,Include,Protein Box Title,Protein Box Subtitle,Protein Box Item,Protein Box Item Price,Sauces Box Title,Sauces Box Subtitle,Sauces Box Item
Fusion Handhelds,OliToki Burrito,$10.50,"Large 12 inch tortilla. Kimchi fried rice, vegan kimchi, onion cilantro mix, corn, lettuce, red cabbage, cheese, sour cream, Spicy Toki, and Ai-Oli.",0,,1,Protein Options,(bowls + handhelds),Soy Garlic Chicken,$0.50,Sauces,,Spicy Toki
,OliToki Kalifornia Burrito,$12.50,"Large 12 inch tortilla. Ramen fries, vegan kimchi, onion cilantro mix, guacamole, cheese, sour cream, Spicy Toki, and Ai-Oli.",0,,1,,,Bulgogi Beef,$2.95,,,Ai-Oli
,OliToki Tacos x 2,$8.95,"Dos tacos, double corn tortillas, vegan kimchi, onion cilantro mix, red cabbage, cheese, sour cream, spicy Toki, and Ai-Oli.",0,,1,,,Fried Spam,$1.75,,,Ketchup
,Kimchi Burilla,$10.25,"Flat pressed burrito with white rice, vegan kimchi, onion cilantro mix, corn, cheese, sour cream, spicy Toki, and Ai-Oli.",0,,1,,,Chipotle Pulled Pork,$1.75,,,BBQ
,Kimchi Dilla,$11.95,Kimchi quesadilla. Large 12 inch flour tortilla with cheese and Ai-Oli on the side.,0,,1,,,Crispy Tofu,$0.45,,,Sriracha
,,,,,,,,,,,Soy Vinegar
,,,,,,,,,,,Buffalo
,,,,,,,,,,,Ranch
,,,,,,,,,,,House Teriyaki
,,,,,,,,,,,GF Creamy Sesame
