Item,Image
Packed Bowl or Salad,packedbowlorsalad.png
BYO Super Cup,supercup.png
Kimchi Fried Rice & Egg Bowl,friedriceeggbowl.png
Dumpling Munchies Bowl,dumplingmunchiesbowl.png
BYO Mix Market,mixmarketbowl.png
Crispy Chicken Crunch Bowl,crispytenderbowl.png
Aloha Spam and Egg Bowl,alohaspameggbowl.png
Exxtra Tofu or Veggie Bowl,exxtratofuorveggiebowl.png
